City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
131,Kiama,AU,2020-04-17 19:27:14,-34.68,150.87,57.2,58,0,13.87,clear sky,0.000,0
132,College Place,US,2020-04-17 19:30:33,46.05,-118.39,66.99,20,1,6.93,clear sky,0.000,0
133,Sorong,ID,2020-04-17 19:30:34,-0.88,131.25,76.89,87,16,0.76,light rain,0.860,0
134,Lompoc,US,2020-04-17 19:30:34,34.64,-120.46,61.0,72,90,9.17,overcast clouds,0.000,0
135,Jalu,LY,2020-04-17 19:30:35,29.03,21.55,69.51,26,0,6.78,clear sky,0.000,0
136,Llanes,ES,2020-04-17 19:30:35,43.42,-4.75,61.0,62,16,5.55,light rain,0.240,0
137,Evensk,RU,2020-04-17 19:30:36,61.95,159.23,13.78,89,10,7.99,clear sky,0.000,0
138,Aksu,CN,2020-04-17 19:30:38,41.12,80.26,55.33,45,100,5.14,light rain,0.140,0
139,Mayo,US,2020-04-17 19:30:39,38.89,-76.51,55.99,53,90,20.8,overcast clouds,0.000,0
140,Bonthe,SL,2020-04-17 19:30:41,7.53,-12.51,80.62,80,75,12.26,moderate rain,3.340,0
141,Yarmouth,US,2020-04-17 19:30:42,41.71,-70.23,48.2,39,40,24.16,scattered clouds,0.000,0
142,Cidreira,BR,2020-04-17 19:30:42,-30.18,-50.21,67.08,80,26,8.9,light rain,0.240,0
143,Punta Alta,AR,2020-04-17 19:27:47,-38.88,-62.07,79.12,36,7,19.26,clear sky,0.000,0
144,Nauchnyy Gorodok,RU,2020-04-17 19:30:43,53.42,83.52,46.4,42,0,6.71,clear sky,0.000,0
145,Lieksa,FI,2020-04-17 19:29:57,63.32,30.02,33.76,87,98,8.43,light snow,0.000,1
146,Carnarvon,AU,2020-04-17 19:30:45,-24.87,113.63,75.2,88,100,6.93,overcast clouds,0.000,0
147,Saskylakh,RU,2020-04-17 19:26:55,71.92,114.08,-2.92,87,8,6.08,clear sky,0.000,0
148,Makakilo City,US,2020-04-17 19:29:54,21.35,-158.09,80.6,57,20,3.36,few clouds,0.000,0
149,Jertih,MY,2020-04-17 19:30:47,5.73,102.49,82.4,78,20,4.7,few clouds,0.000,0
150,Margate,GB,2020-04-17 19:30:48,51.38,1.39,48.99,85,100,22.12,light rain,0.470,0
151,Airai,TL,2020-04-17 19:30:49,-8.93,125.41,61.2,73,23,2.3,light rain,0.130,0
152,Fare,PF,2020-04-17 19:29:13,-16.7,-151.02,83.75,65,83,6.13,broken clouds,0.000,0
153,Tiksi,RU,2020-04-17 19:30:50,71.69,128.87,1.65,86,100,4.34,overcast clouds,0.000,0
154,Chemax,MX,2020-04-17 19:30:51,20.65,-87.93,96.8,26,40,11.41,scattered clouds,0.000,0
155,Nanortalik,GL,2020-04-17 19:26:30,60.14,-45.24,29.86,92,100,19.28,light snow,0.000,0
